"","day","nee","le","h"
"1043",2020-01-16,0,0,0
"1044",2020-01-17,0,0,0
"1045",2020-01-18,0,0,0
"1046",2020-01-19,0,0,0
"1047",2020-01-20,0,0,0
"1048",2020-01-21,0,0,1377.55278099029
"1049",2020-01-22,0,0,2667.40504206174
"1050",2020-01-23,0,0,1129.92047683011
"1051",2020-01-24,0,0,416.836477054376
"1052",2020-01-25,0,0,-900.058674852073
"1053",2020-01-26,0,0,549.59490898016
"1054",2020-01-27,0,0,924.377579949274
"1055",2020-01-28,0,0,321.893145110497
"1056",2020-01-29,0,0,1772.90217115655
"1057",2020-01-30,0,0,1581.44544325357
"1058",2020-01-31,0,0,915.638069463468
"1059",2020-02-01,0,0,1129.02951347662
"1060",2020-02-02,0,0,-39.9785213657318
"1061",2020-02-03,0,0,0
"1062",2020-02-04,0,0,378.71314966017
"1063",2020-02-05,9.73866559038993,228.075819747214,-237.870655467107
"1064",2020-02-06,21.5919879108545,28.157600643616,90.2257389940651
"1065",2020-02-07,138.350880701408,515.954727172765,-138.63967390012
"1066",2020-02-08,19.824390083266,202.842591469742,-630.853145104914
"1067",2020-02-09,0,0,0
"1068",2020-02-10,0,0,0
"1069",2020-02-11,0,0,0
"1070",2020-02-12,9.21917769443973,110.135263013918,-41.1715606906076
"1071",2020-02-13,38.2275258220634,190.488049835815,-1360.56974097501
"1072",2020-02-14,27.1853102245238,1471.86429582594,2614.94705593989
"1073",2020-02-15,38.3732723353196,730.108119210268,3131.10054079653
"1074",2020-02-16,1.46793480887755,0.0620708655267775,-7.93120983584828
"1075",2020-02-17,3.20262818329537,581.028099242034,2602.24308878883
"1076",2020-02-18,34.7056287010793,677.285622562583,131.561009817883
"1077",2020-02-19,6.11179025451234,1081.41760351489,1307.24230221841
"1078",2020-02-20,14.8128527015343,446.058906235479,1017.29141318161
"1079",2020-02-21,22.543852766945,676.685150223191,3247.64364265013
"1080",2020-02-22,17.7209004733395,732.049044326243,3690.42035234365
"1081",2020-02-23,3.57446981432698,810.127932218441,3406.00540840404
"1082",2020-02-24,2.88041163826056,610.391931523076,1890.3175655224
"1083",2020-02-25,50.7693474968506,323.096737983895,504.604531665814
"1084",2020-02-26,56.4834213907517,68.839231133756,499.071866258184
"1085",2020-02-27,818.200457569185,132.385336395785,3054.65580331224
"1086",2020-02-28,-9.40629669564253,775.706248127905,1530.09605734222
"1087",2020-02-29,21.4165865775833,1004.82344406042,2202.45446119343
"1088",2020-03-01,-4.85209387140929,842.659271980462,3616.12858117894
"1089",2020-03-02,-36.7808144999536,925.297106658357,2270.03988712488
"1090",2020-03-03,29.5156012180522,708.895976997938,-35.6799701227283
"1091",2020-03-04,32.8777708924825,2557.00370285733,821.236893058345
"1092",2020-03-05,-14.5448190675875,995.839244516762,2075.29285662414
"1093",2020-03-06,19.7179258868093,693.682422936051,704.459354319843
"1094",2020-03-07,5.70147520832189,1313.64114429642,3295.41157515749
"1095",2020-03-08,-41.7763217096345,1230.05456754954,4116.7023577229
"1096",2020-03-09,0.532125899528868,1167.92000067723,3130.59303225609
"1097",2020-03-10,-2.41485044029196,1065.41158428163,-292.735510554061
"1098",2020-03-11,4.31765627230435,356.862059385171,110.51529811802
"1099",2020-03-12,3.21602642523986,978.737872102328,4069.7256512704
"1100",2020-03-13,10.3407002607091,2694.91857289472,1668.06990652777
"1101",2020-03-14,24.6438630340374,1749.2817635838,1460.49422175671
"1102",2020-03-16,29.3289822235179,853.720125962083,1689.93392116191
"1103",2020-03-17,31.9716918193507,1170.06600839838,2698.78331664424
"1104",2020-03-18,36.267107698832,953.656117038282,1422.68732398815
"1105",2020-03-19,44.7630140575493,1152.9503143155,783.326799234519
"1106",2020-03-20,11.7333145165996,1128.93321725223,-427.554510610982
"1107",2020-03-21,0,875.605997374641,1405.72061570514
"1108",2020-03-22,-14.9009407202635,1549.80252903353,3831.69126799097
"1109",2020-03-23,45.7975873687602,309.642490442478,-620.152482660598
